text_display,video_source
Misi sapri dan towel sukses 😂,Youtube
Era kegelapan towel telah kembali 😂,Youtube
"nonton highlight, terasa aneh
 sepak bola ❌
  rebutan bola lempar ✅",Youtube
Dulu lihat timnas begitu menarik utk di tonton sekarang lebih menarik lihat persib apalagi lolos ACL 2,Youtube
"Anjir, banner iklannya kurang gede itu.. kalo bisa ditutupi sekalian aja seluruh layar biar makin ga bisa ditonton highlight-nya.",Youtube
Timnas seperti ini yang diinginkan Towel dkk 😂,Youtube
Raven di cadangkan di awal ekskskksskskkekskskekssk,Youtube
towel tersenyum bahagia,Youtube
Diam adalah luapan kekecewaan dan ketidakpedulian yg tidak terbatas😮,Youtube
Pengen jadi bintang semua. Gak mau membagi bola😂,Youtube
"Woolah sedih sedih gimana gitu..
 .itulah PSSI",Youtube
Erik tohir suruh golin,Youtube
"Towel: tor monitor ketua, mission complate ketua. 🤣🤣",Youtube
Mumet2 federasi dengerin towel 😂,Youtube
inilah yang diinginkan exco dan pssi kembali ke setelan pabrik..kalau bisa mundur buat apa maju..🤣🤣🤣,Youtube
Biasa nonton timnas era sin balik ke sini jd kaya tarkam .. skrng pindah tontonan ke PERSIB gw ...,Youtube
Gaya bermain sepak bola adalah gambaran suatu bangsa 😊,Youtube
"Level tarkam,,,",Youtube
Towel senyum bahagia,Youtube
Dari juara bertahan menjadi pecundang bertahan.,Youtube
Jauh levelnya diera StY,Youtube
"Mantappp 
 Setelah kesuksesan sea games 
 Coach indra safri langsung naik kelas melatih timnas senior.🎉",Youtube
Era emas Timnas 🎪🎪🎪,Youtube
"Batas kesabaran supporter timnas tidak lagi meluapkan emosi, tapi diam dan tidak peduli",Youtube
Erik tohir ...inikah timnas yang kau inginkan ?🤣🤣,Youtube
Akhirnya mengalirrr deraaassss... lumayan buat tahun baruan 😅😅😅.,Youtube
"Jadi Ternyata inilah era yang di impikan...
 Entah berapa ratus tahun lagi bisa sama seperti era sty mode U23 AFC.",Youtube
