text_original,video_source,text_clean,sentiment
sedih bgt co lihat ini Kenapa sepak bola juga ikut di rusak dengan kebobrokan negeri iniðŸ¥ºðŸ¥º,Tiktok,sedih banget co lihat ini kenapa sepak bola juga ikut di rusak dengan kebobrokan negeri ini,negative
Mau ke piala dunia...jd runner up terbaik aja gak mampu. Mimpi terus.... Indonesia emas.....ha..ha..ha,Youtube,mau ke piala dunia jd runner up terbaik saja tidak mampu mimpi terus indonesia emas ha ha ha,positive
"kartu merah buat pssi ðŸŸ¥
 pildun gagal âŒ
 piala asia gagal âŒ
 sea games gagal âŒ",Tiktok,kartu merah buat pssi pildun gagal piala asia gagal sea games gagal,neutral
bung towel pun bahagia atas berita pemecatan sty,Youtube,bung towel pun bahagia atas berita pemecatan sty,positive
"kek blum percaya aja gitu, semoga dmna pun coach shin berada slalu mengingat indonesia terutama timnas sepakbola dan para pemain yg pernah bekerja sama dgn coach shin",Tiktok,kek blum percaya saja gitu semoga dmna pun coach shin berada slalu mengingat indonesia terutama timnas sepakbola dan para pemain yang pernah bekerja sama dgn coach shin,neutral
ego x gantii pelatihhh sebagusss iniiiðŸ˜­,Tiktok,ego x gantii pelatihhh sebagusss iniii,positive
"Udh kebaca, pasti indonesia bakalan kalah di sea games krna ingin mengembalikan modal, bnyak keluar uang waktu naturalisasi masal",Youtube,sudah kebaca pasti indonesia bakalan kalah di sea games krna ingin mengembalikan modal bnyak keluar uang waktu naturalisasi masal,negative
melatih dengan cinta = sty,Tiktok,melatih dengan cinta sty,neutral
Udah malas nonton timnas...parah pssi nya euy...mening nonton timnas persib njir...ampas,Youtube,sudah malas nonton timnas parah pssi nya euy mening nonton timnas persib njir ampas,negative
"Dosa pssi terlalu besar bro buat suporter terutama dosa terhadap STY. Berutung kots Nova kami respek masi mejaga kesucian STY atas air mata dan keringat sty buat pssi dan ibu pertiwi, buktinya kost nova berhasil bawa u17 ke pildun, itu bkan andil kalian satu2nca tapi legasi sty terbukti berhsil di kots nova..dan itu nggk ada di pelatih2 lain..gagal semua kan, seandainxa kalo kots nova diberi tugas latih timas seagames, saya yakin timnas jadi favorit juara..jadi jgn trrlalu omon2 kalian perbaiki dan hapus dulu dosa kaliaan..",Youtube,dosa pssi terlalu besar bro buat suporter terutama dosa terhadap sty berutung kots nova kami respek masi mejaga kesucian sty atas air mata dan keringat sty buat pssi dan ibu pertiwi buktinya kost nova berhasil bawa kamu ke pildun itu bkan andil kalian satu nca tapi legasi sty terbukti berhsil di kots nova dan itu nggk ada di pelatih lain gagal semua kan seandainxa kalo kots nova diberi tugas latih timas seagames saya yakin timnas jadi favorit juara jadi jgn trrlalu omon kalian perbaiki dan hapus dulu dosa kaliaan,positive
"taktik 2%, sujud 98%",Youtube,taktik sujud,neutral
selamat datang STY,Youtube,selamat datang sty,positive
Pelatih terbaik Indonesia selama 30 tahun nonton Timnas Indonesia,Youtube,pelatih terbaik indonesia selama tahun nonton timnas indonesia,positive
tretan muslim bilang kochi bitsu lawak anjeng wkwkww🤣,Youtube,tretan muslim bilang kochi bitsu lawak anjeng wkwkww,neutral
"towel pasti sangat hepi liat ini 🤮
 kasian para pemain menjadi korban ambisi federasi yg kebablasan & ocehan para sok2an pengamat macam towel.. kangen liat permainan indah timnas 🇮🇩 tahun lalu",Youtube,towel pasti sangat hepi liat ini kasian para pemain menjadi korban ambisi federasi yang kebablasan ocehan para sok an pengamat macam towel kangen liat permainan indah timnas tahun lalu,neutral
@mundo!,Tiktok,mundo,neutral
"Suarakan bang, Erick Thohir telah melakukan kejahatan yang luar biasa Dengan mengatur terlalu dalam komposisi Pemain, Gonta ganti formasi sesuai dengan keinginan nya yang mengakibatkan di pecatnya STY, karena tidak mau menuruti keinginannya.dan menghancurkan mimpi pecinta sepak bola tanpa rasa bersalah",Youtube,suarakan bang erick thohir telah melakukan kejahatan yang luar biasa dengan mengatur terlalu dalam komposisi pemain gonta ganti formasi sesuai dengan keinginan nya yang mengakibatkan di pecatnya sty karena tidak mau menuruti keinginannya dan menghancurkan mimpi pecinta sepak bola tanpa rasa bersalah,negative
"Starting line up lawan China hasil lawan China menurut saya itu yang jadi salah satu alasan pssi evaluasi. Dari situlah menurut saya pssi melihat bukti bukti salah satunya di kalangan pemain di ruang ganti dan faktor faktor lainnya. Menurut saya saja.
 
 Apapun respect dan terima kasih coach sty.",Youtube,starting line up lawan china hasil lawan china menurut saya itu yang jadi salah satu alasan pssi evaluasi dari situlah menurut saya pssi melihat bukti bukti salah satunya di kalangan pemain di ruang ganti dan faktor faktor lainnya menurut saya saja apapun respect dan terima kasih coach sty,positive
Semoga mimpi indah pada akhirnya,Youtube,semoga mimpi indah pada akhirnya,neutral
Masih gak prcya ðŸ¥ºðŸ¥º,Tiktok,masih tidak prcya,neutral
ayo lebih semangat lagi garuda kep strong gapapa kamu sudah berjuang walaupun hasil nya berantakan,Tiktok,ayo lebih semangat lagi garuda kep strong gapapa kamu sudah berjuang walaupun hasil nya berantakan,positive
SETIAP TIMNAS KALAH DAPET CUAN X MEREKA,Youtube,setiap timnas kalah dapet cuan x mereka,negative
tegas,Tiktok,tegas,neutral
"Bukannya 2025 ada kemajuan malah yg ada kemunduran, lekas membaik garudaðŸ¦…ðŸ”¥",Tiktok,bukannya ada kemajuan malah yang ada kemunduran lekas membaik garuda,neutral
"Sumpah buruk kali skema permainan Indonesia. Kualitasnya terlalu jauh sama eropa 
 Apalagi defend dari gol pertama ya ampun jelek parah wkw. Tapi tetap selalu saya doakan untuk timnas agar berubah lebih baik.",Youtube,sumpah buruk kali skema permainan indonesia kualitasnya terlalu jauh sama eropa apalagi defend dari gol pertama ya ampun jelek parah wkw tapi tetap selalu saya doakan untuk timnas agar berubah lebih baik,negative
