text_clean,sentiment
jesus casas here we go,neutral
sampai saat ini saya pribadi masih setuju dengan pendapatnya coach justin karena memang dari beberapa aspek pak e t lebih ngerti dan lebih paham daripada kita sebagai supporter pasti ada pro kontra ada yang tidak puas dan ada juga yang marah tapi alangkah lebih baiknya jangan sampai membenci keadaan berlebihan kita sebagai pendukung cukup dengan memberikan dukungan yang positif jangan sampai kita malah memperkeruh atau bahkan memperburuk keadaan intinya untuk kedepannya semoga timnas indonesia bisa semakin baik selalu membaik dan menjadi yang terbaik,negative
indra safri bobrok berat jadi juara kalo main nya amburadul kayak gini,neutral
tiba muncul diberanda,neutral
terimakasih shin tae yong dan apapun keputusan pssi saya hormati timnas indonesia lebih dari siapapun saya akan tetap nonton timnas seperti biasanya,positive
emang sty kurang kalo bagus hak mungkin di pecat,positive
pelatih jepang yang benar benar punya kualitas dunia hajime moriyatsu,neutral
pertandingan internasional rasa tarkam membuat emosi saja nontonnya,negative
nice pemain yang punya prestasi bagus sa at membela timnas bersama shin tae young,positive
sudah dpt pelatih bagus kelas dunia kok dipecat ya indo kualat,positive
saya tetap dukung timenas makasih sty selamat datang patrick,positive
penyepong sty nih adminya,neutral
pelatih ini strateginya sangat cemerlang dia mampu mengusasi semua karakter pemain dan potensi pemain mangkanya semua enak di lihat eh sekarang malah ancur an anjing lah pokok nya,negative
ketimbang na ni nu naninu tentang sty undang dong jeje dan et konfrontasi kalo cuma ngira mah tidak bakalan jelas ya kalo perlu sty yang di undang tapi kan susah ada jeje tuh konfrontir kok bisa sepede itu maen kick saja alasan yang muncul kan biar naekin persentase keberhasilan masuk pildun sekarang sudah kebukti zonk nih apa lagi alasan yang lain,neutral
mourinho kayaknya nganggur tuh,neutral
sejarah terburuk dicatat erick tohir dengan pemecatan sty,negative
pelatih zidane latih timnas indonesia,neutral
belanda yang gapernah juara dunia diikutin coba ikutin brazil ato argentina yang sudah langganan juara gaya main amerika latin cocok banget diterapin di indonesia,positive
sudahlah jangan ngarep kalian sty balik saya ingin jg sbenernya dia balik jg asli tapi di liat liat tidak mungkin sih karna sty ini sudah dipecat tiba tiba saja,neutral
thank you sty thank you the history maker you ll never walk alone,positive
pak kumis terbukti sebagai pelatih hebat hebat tidak dipecat jelas dari awal tidak meyakinkan beda cerita dg sty mungkin si bapak ini pegang rahasia besar,positive
benar benar sty bagun timnas sepenuh hati ehhh tersusupi politik ancur sudah,negative
mengganti pelatih bukan jalan terbaik,positive
