comment,compound,positive,negative,neutral,label
Luar biasa Selamat atas PERTAMA KALI TIDAK LOLOS SEMIFINAL SEAGAMES DLM 15 TAHUN,-0.8877,0.261,0.507,0.232,negative
dari semifinalis piala asia u23 sampai jadi ampas di selevel2 seagames,-0.6124,0.25,0.4,0.35,negative
Anjir banner iklannya kurang gede itu kalau bisa ditutupi sekalian saja seluruh layar biar makin tidak bisa ditonton highlightnya,-0.9001,0.256,0.487,0.256,negative
Timnas seperti ini yang diinginkan Towel dan kawan-kawan,-0.8402,0.0,0.571,0.429,negative
Diam adalah luapan kekecewaan dan ketidakpedulian yang tidak terbatas,-0.9186,0.231,0.615,0.154,negative
Sumpahkl didepan gawang tim indonesia persis main tarkam,-0.4588,0.214,0.357,0.429,negative
Woolah sedih sedih bagaimana begitu itulah PSSI,-0.9325,0.0,0.706,0.294,negative
Erik tohir suruh golin,-0.7906,0.0,0.778,0.222,negative
inilah yang diinginkan exco dan pssi kembali ke setelan pabrikkalau bisa mundur buat apa maju,-0.875,0.083,0.417,0.5,negative
Biasa nonton timnas era sin balik ke sini jadi kaya tarkam skrng pindah tontonan ke PERSIB saya,-0.25,0.333,0.333,0.333,negative
Gaya bermain sepak bola adalah gambaran suatu bangsa,-0.6124,0.0,0.364,0.636,negative
Jauh levelnya diera StY,-0.7184,0.0,0.625,0.375,negative
Mantappp Setelah kesuksesan sea games Coach indra safri langsung naik kelas melatih timnas senior,-0.4588,0.25,0.333,0.417,negative
Batas kesabaran supporter timnas tidak lagi meluapkan emosi tapi diam dan tidak peduli,-0.4404,0.443,0.464,0.093,negative
Erik tohir inikah timnas yang kamu inginkan,-0.9001,0.0,0.667,0.333,negative
Jadi Ternyata inilah era yang di impikan Entah berapa ratus tahun lagi bisa sama seperti era sty mode U23 AFC,-0.9001,0.167,0.444,0.389,negative
RIP timnas u22 smoga tenang dialam sana hihihi,-0.186,0.32,0.359,0.32,negative
apresiasi sebesar besar nya kepada pemain terima kasih atas perjuangan kalian kalian hebat tapi tidak untuk staff kepelatihan dan federasinya,-0.7184,0.275,0.375,0.35,negative
Liburin liga FIFA MATCHDAY dipakai U23 demi fokus sea games hasilnya lolos grup saja tidak,-0.9584,0.118,0.588,0.294,negative
Pertandingan internasional rasa tarkam Bikin emosi saja nontonnya,-0.4588,0.25,0.438,0.312,negative
Seperti kembali ke masa kegelapan lagi ini ubah lah konsepnya cara melatih pemain nya agar lbh terkonsep,-0.9325,0.0,0.519,0.481,negative
Banyak pemain titipan yang harus dimainkan,-0.9325,0.182,0.727,0.091,negative
Era kegelapan muncul lagi,-0.4588,0.25,0.5,0.25,negative
Tetap smangat timnas garuda telah berjuang skuat tenanga dn kmampuan Blum bruntung untuk lolos,-0.25,0.19,0.238,0.571,negative
Andai tidak kebobolan di awal Lolos kita,-0.7906,0.3,0.55,0.15,negative
Timnas Paling Ampas ini mah,-0.6124,0.0,0.5,0.5,negative
Jaman STY U23 hampir masuk Olympiadeskrng lolos SEA GAMES level ASEAN tidak lolosTowel seneng ini,-0.9186,0.176,0.529,0.294,negative
Towel jackpot lagi wd,-0.0772,0.381,0.412,0.206,negative
Permainan seperti obak sodor,-0.25,0.0,0.4,0.6,negative
Jdi timnas muda ggal lolos ini,-0.8402,0.0,0.667,0.333,negative
Gol pertama Myanmar itu penyakit pemain Lokal kita selalu fokus ke bola tidak lihat pergerakan lawan,-0.7184,0.35,0.45,0.2,negative
LUAR BIASAAAA hebat sekali kepelatihan pak kumis sangat membanggakan berkat strateginya timnas TIDAK LOLOS semifinal,-0.8877,0.197,0.475,0.328,negative
Dari dulu masukkan timnas senior masukkan raven masukkan raven ini anak ambisius untuk jadi straiker predator,-0.9001,0.077,0.462,0.462,negative
Inilah timnas yang sebenarnya,-0.25,0.385,0.462,0.154,negative
Skornya sama dengan tanggal ulang tahun ku Desember 13,-0.25,0.25,0.312,0.438,negative
Kok berasa permainannya kayaq main dikampung hampir semua yang dpat bola mau Suting semua,-0.8402,0.265,0.5,0.235,negative
INI LAH GAMBARAN DARI LOKAL PRET,-0.6124,0.0,0.444,0.556,negative
Era mafia kembali,-0.7906,0.0,0.75,0.25,negative
sisapri kemarin Jen raven di cadangin bahkan maenin Arjuna pemain tarkam,-0.6124,0.0,0.286,0.714,negative
Layak tidak lolos karena tujuannya bukan mau lolos hanya main bola saja,-0.9682,0.277,0.681,0.043,negative
Yang masang iklan IQ nya 65,-0.7906,0.0,0.545,0.455,negative
Kembali ke mode awal Goal nya kalau tidak bola mati bola liar Ketemu tim yang mainnya taktis dan rapi habis kita,-0.743,0.351,0.435,0.214,negative
Kadek2 kepala atau apa tu,-0.6124,0.0,0.5,0.5,negative
Minim stategi harus nya jens reven starter bahkan di cadangin Liat pas masuk jens riven 2 goal di sumbangkan,-0.8402,0.206,0.412,0.382,negative
Raven semangatnya luar biasaandai dia main dari awal babak 2 kayaknya bisa lolos kita,-0.9584,0.176,0.647,0.176,negative
